row_id,r,u,v
453,3,0x25f0c584,0xb2a32963
252,3,0x32c0641d,0x51ceacf3
170,3,0x8f2ecae1,0xfcc6daf5
80,3,0xade9b4e0,0x01722e1e
412,3,0xbabb33e3,0x679bec19
379,3,0xbabb33e3,0x5bb0b2ff
411,3,0xbabb33e3,0x6ac1fd5d
260,3,0x32c0641d,0xb2a32963
244,3,0x32c0641d,0x795341a2
78,3,0xade9b4e0,0xb45e8ded
454,3,0x25f0c584,0x6fccbf88
191,3,0x8f2ecae1,0x6bea2b3a
6,3,0xade9b4e0,0x80c61e87
398,3,0xbabb33e3,0x2ea3674e
461,3,0x25f0c584,0x8aaf26d1
466,3,0x25f0c584,0xfcc6daf5
64,3,0xade9b4e0,0xfc6b87f0
497,3,0x01db7a2b,0x8267f7e1
231,3,0x32c0641d,0x92088483
317,3,0x669e4dbf,0xf414309d
401,3,0xbabb33e3,0xa0a3a7a0
193,3,0x8f2ecae1,0x682182b3
357,3,0x669e4dbf,0xad76b9cc
228,3,0x32c0641d,0xf414309d
43,3,0xade9b4e0,0x46cb3586
358,3,0x669e4dbf,0xb45e8ded
60,3,0xade9b4e0,0xa36fc5ac
292,3,0x32c0641d,0xd0542d4f
475,3,0x25f0c584,0x8fa0d7a7
501,3,0x01db7a2b,0x85e1172d
117,3,0x8f2ecae1,0xfc2a458f
222,3,0x32c0641d,0x6d957c23
42,3,0xade9b4e0,0x98d4182f
458,3,0x25f0c584,0x7da36075
282,3,0x32c0641d,0xdad2ac29
93,3,0xade9b4e0,0x38ca6118
65,3,0xade9b4e0,0x3581df33
206,3,0x8f2ecae1,0x29b1b908
9,3,0xade9b4e0,0xfc2a458f
437,3,0xbabb33e3,0x0e95a270
202,3,0x8f2ecae1,0x3581df33
200,3,0x8f2ecae1,0x6b556f1d
389,3,0xbabb33e3,0x2fb2100e
377,3,0xbabb33e3,0x1eb10f06
277,3,0x32c0641d,0x464c484f
127,3,0x8f2ecae1,0xe4b60034
104,3,0xade9b4e0,0xddab1bbb
472,3,0x25f0c584,0x1ceb5c0f
172,3,0x8f2ecae1,0xe564b06c
271,3,0x32c0641d,0xbc909452
438,3,0xbabb33e3,0x98d4182f
16,3,0xade9b4e0,0x8998f3be
300,3,0x669e4dbf,0x1eb10f06
322,3,0x669e4dbf,0x20049c16
208,3,0x8f2ecae1,0x46347e29
421,3,0xbabb33e3,0x2b736b89
423,3,0xbabb33e3,0x4d5cf120
5,3,0xade9b4e0,0x1eb10f06
274,3,0x32c0641d,0xd5ba5d17
132,3,0x8f2ecae1,0xf414309d
141,3,0x8f2ecae1,0xbf040c64
142,3,0x8f2ecae1,0x2ea3674e
491,3,0x01db7a2b,0xb21532b2
225,3,0x32c0641d,0x59a7785c
313,3,0x669e4dbf,0x6d957c23
324,3,0x669e4dbf,0x4cb175a2
41,3,0xade9b4e0,0x1a5ae8a3
29,3,0xade9b4e0,0xdad2ac29
290,3,0x32c0641d,0x04aab030
100,3,0xade9b4e0,0xf5ae665d
59,3,0xade9b4e0,0xfcc6daf5
408,3,0xbabb33e3,0x9781fb46
376,3,0xbabb33e3,0xed0b3305
434,3,0xbabb33e3,0x67aba996
192,3,0x8f2ecae1,0xd0542d4f
158,3,0x8f2ecae1,0x3f6731af
485,3,0x01db7a2b,0x93dbda7b
196,3,0x8f2ecae1,0xcc4dbd59
369,3,0x669e4dbf,0x8edf2451
478,3,0x01db7a2b,0xed0b3305
22,3,0xade9b4e0,0x92088483
428,3,0xbabb33e3,0xddab1bbb
62,3,0xade9b4e0,0x9487dd7f
319,3,0x669e4dbf,0x2b736b89
433,3,0xbabb33e3,0xa06025fe
27,3,0xade9b4e0,0x0e95a270
467,3,0x25f0c584,0x8998f3be
232,3,0x32c0641d,0x20049c16
8,3,0xade9b4e0,0xdf4e5f18
234,3,0x32c0641d,0x049c2005
188,3,0x8f2ecae1,0x1ceb5c0f
335,3,0x669e4dbf,0x0a353f46
490,3,0x01db7a2b,0x1e5deeab
492,3,0x01db7a2b,0xe76b795a
114,3,0x8f2ecae1,0x93dbda7b
105,3,0xade9b4e0,0xad76b9cc
483,3,0x01db7a2b,0xc37dab8d
416,3,0xbabb33e3,0x3c0be849
451,3,0x25f0c584,0xed6a6400
